,Company,Industry,Total,QM.Rank,QMan,QGS.Rank,QGS,QMar.Rank,QMar,FS.Rank,FS,VTLI.Rank,VLTI,CER.Rank,CER,ATT.Rank,ATT,UCA.Rank,UCA,CI.Rank,CI,Year
25,BAE Systems,Aero and defence,57.38,136,6.1,101,6.5,62,6.4,53,7.1,99,6.1,79,5.9,58,6.7,79,6.2,60,6.3,2010
57,Chemring Group,Aero and defence,54,96,6.5,102,6.5,177,5.2,86,6.7,134,5.8,155,5.2,132,5.8,59,6.5,95,5.8,2010
61,Cobham,Aero and defence,58.62,66,6.9,103,6.5,109,5.8,50,7.2,67,6.6,97,5.7,75,6.5,45,6.8,33,6.8,2010
93,GKN,Aero and defence,54.56,78,6.8,65,6.9,84,6,135,6.2,159,5.4,130,5.4,135,5.8,75,6.3,96,5.8,2010
141,Meggitt,Aero and defence,51.83,132,6.2,104,6.5,194,4.8,153,5.8,144,5.7,140,5.3,98,6.2,108,6,158,5.3,2010
165,QinetiQ Group,Aero and defence,46.08,212,4.8,196,5.4,178,5.2,217,4.1,211,4.3,86,5.8,170,5.3,188,5,71,6.2,2010
174,Rolls-Royce,Aero and defence,67.1,31,7.5,14,7.8,13,7.3,25,7.9,19,7.4,7,7.1,13,7.5,44,6.8,2,7.81,2010
211,Ultra Electronics,Aero and defence,63.42,32,7.5,18,7.6,101,5.8,20,8,28,7.3,109,5.6,39,6.9,23,7.1,6,7.67,2010
212,UMECO,Aero and defence,50,146,5.9,169,5.9,184,5,161,5.7,181,5,137,5.3,156,5.5,131,5.7,99,5.8,2010
220,VT Group,Aero and defence,51.48,147,5.9,176,5.8,173,5.2,142,6,127,5.9,98,5.7,142,5.7,100,6.1,163,5.2,2010
10,Allied Irish Bank (GB),Banking,36.71,218,4.6,204,5.3,222,3.7,214,4.1,221,3.7,190,4.7,221,3.9,229,3,224,3.7,2010
27,Banco Santander,Banking,57.98,79,6.7,138,6.1,23,7,96,6.6,130,5.9,111,5.6,66,6.6,32,6.8,36,6.7,2010
28,Bank of Ireland,Banking,36.57,219,4.6,210,5.1,219,3.9,218,4,222,3.7,191,4.7,222,3.9,230,3,225,3.7,2010
29,Barclays,Banking,60.1,48,7.2,121,6.3,79,6,46,7.2,45,6.9,41,6.3,15,7.4,30,6.9,101,5.8,2010
59,Co-operative Bank,Banking,53.57,158,5.8,128,6.3,107,5.8,157,5.8,152,5.6,1,7.75,174,5.3,104,6,129,5.5,2010
108,HSBC,Banking,66.82,28,7.6,52,7,15,7.3,2,8.75,12,7.6,6,7.13,5,7.86,18,7.1,45,6.5,2010
114,ING Direct,Banking,47.4,200,5.2,148,6,40,6.7,205,4.8,207,4.4,183,4.8,215,4.3,172,5.2,83,6,2010
135,Lloyds Banking Group,Banking,52.39,183,5.4,140,6.1,74,6.1,99,6.5,101,6.1,62,6.1,185,5.1,176,5.1,102,5.8,2010
175,Royal Bank of Scotland,Banking,49.33,165,5.7,122,6.3,135,5.6,156,5.8,124,5.9,126,5.4,216,4.3,186,5,156,5.3,2010
196,Standard Chartered,Banking,59.98,19,7.7,41,7.1,94,5.9,28,7.7,68,6.6,165,5,6,7.71,33,6.8,140,5.4,2010
66,CRH,Building materials,63.83,38,7.3,10,7.83,99,5.8,49,7.2,25,7.3,10,6.83,21,7.3,5,7.83,55,6.3,2010
70,DCC,Building materials,46.83,188,5.3,149,6,181,5,187,5.2,196,4.7,203,4.5,189,5,57,6.5,199,4.7,2010
81,Electrocomponents,Building materials,47,201,5.2,208,5.2,115,5.7,188,5.2,208,4.3,115,5.5,183,5.2,68,6.3,203,4.5,2010
98,Grafton Group,Building materials,52.4,162,5.7,131,6.2,80,6,170,5.5,153,5.5,63,6.1,141,5.7,99,6.1,116,5.6,2010
130,Kingspan,Building materials,60.33,137,6.1,11,7.8,41,6.7,118,6.4,53,6.8,11,6.8,71,6.5,105,6,17,7.3,2010
159,Premier Farnell,Building materials,52,138,6,150,6,136,5.5,180,5.3,108,6,116,5.5,107,6,149,5.5,70,6.2,2010
182,Saint-Gobain,Building materials,53.58,189,5.3,88,6.7,100,5.8,126,6.3,82,6.3,117,5.5,72,6.5,196,4.9,64,6.3,2010
191,SIG,Building materials,49,206,5,75,6.8,119,5.6,208,4.6,102,6.1,92,5.8,175,5.3,197,4.9,177,5,2010
208,Travis Perkins,Building materials,61.08,13,7.8,48,7.1,68,6.3,34,7.5,22,7.4,78,5.9,29,7.2,54,6.6,157,5.3,2010
225,Wolseley,Building materials,52.67,122,6.3,146,6.1,108,5.8,139,6.1,90,6.3,99,5.7,108,6,173,5.2,143,5.4,2010
31,BASF (Performance),Chemicals,55,106,6.4,63,6.9,103,5.8,42,7.3,154,5.5,107,5.6,87,6.3,138,5.7,130,5.5,2010
67,Croda International,Chemicals,59.2,68,6.9,46,7.1,81,6,100,6.5,31,7.2,35,6.4,94,6.2,48,6.7,67,6.2,2010
82,Elementis,Chemicals,48.9,154,5.8,143,6.1,159,5.3,154,5.8,179,5.1,194,4.7,157,5.5,150,5.5,171,5.1,2010
112,Ineos,Chemicals,44.63,173,5.5,192,5.5,199,4.6,196,5,200,4.6,215,4.1,165,5.4,151,5.5,210,4.4,2010
123,Johnson Matthey,Chemicals,65.08,73,6.8,31,7.3,60,6.4,39,7.3,23,7.4,3,7.25,4,7.92,15,7.2,14,7.4,2010
158,Porvair,Chemicals,48.6,174,5.5,188,5.6,123,5.6,183,5.3,161,5.4,118,5.5,188,5.1,165,5.3,161,5.3,2010
198,Syngenta,Chemicals,50.63,184,5.4,178,5.8,156,5.4,101,6.5,146,5.6,131,5.4,126,5.9,162,5.4,148,5.4,2010
