,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Autonomy ,7.2,3,8,2,7.6,1,7.7,1,6.4,8,7.6,1,6.7,3,6.3,5,6.9,3,64.4,3,Software,2011
Aveva Group ,7,6,7.3,5,7.3,2,6.8,4,6.8,5,7.3,2,6.3,7,5,10,6.3,8,59.8,6,Software,2011
Computacenter ,7.3,2,7.8,3,6.2,8,6.5,7,6.5,6,5.7,9,6.7,4,6.2,7,6.8,5,59.7,7,Software,2011
Fidessa ,6.6,7,6.9,7,6.6,7,6.6,6,6.9,4,6.6,5,6.4,6,6.6,2,6.9,4,60.1,5,Software,2011
IBM (UK) ,7.2,3,8.4,1,7.1,3,7.7,1,7.7,2,7.2,3,7,2,6.8,1,7.3,2,66.4,1,Software,2011
Invensys ,5.5,10,5.9,9,5.9,10,5.7,10,6.5,6,6.5,6,5.9,9,5.5,9,5.9,9,53.3,10,Software,2011
Logica ,6.2,9,5.5,10,6.8,6,6.3,8,5.5,10,6.2,8,6,8,6.3,6,5.7,10,54.3,9,Software,2011
Misys ,6.6,8,6.6,8,6.1,9,5.9,9,6.2,9,5.7,9,5.8,10,5.6,8,6.8,6,55.2,8,Software,2011
Sage Group ,7.1,5,7.6,4,7,4,6.8,4,7.5,3,6.4,7,6.4,5,6.3,4,6.7,7,61.8,4,Software,2011
Telecity Gp. ,7.5,1,7,6,7,4,7.5,3,8.2,1,6.8,4,7.5,1,6.5,3,8,1,66,2,Software,2011
Aberdeen Asset Management ,6.3,6,6.6,5,6.8,5,6.8,5,6.9,3,6.3,5,6.3,4,5.5,4,6.6,3,58.1,4,Specialty finance,2011
Ashmore Group ,6.3,8,6.6,4,7,3,6.9,4,7.1,2,6.1,6,5.4,7,5.1,10,5.6,8,56.1,5,Specialty finance,2011
Hargreaves Lansdown ,6.6,3,8,2,7.5,1,7.5,1,5.4,9,6.8,2,6.6,3,5.5,4,7,1,60.9,2,Specialty finance,2011
IG Group ,8.5,1,7.5,3,7.5,1,7.5,1,6,5,7.5,1,7.3,1,5.3,7,6.8,2,63.8,1,Specialty finance,2011
ICAP ,6.5,4,6.5,6,6.4,6,6.2,7,6.4,4,6.4,3,5.3,9,5.9,1,5.8,6,55.4,6,Specialty finance,2011
Investec ,6.3,5,6.2,7,5.7,9,5.5,9,5.5,8,4.3,10,5.3,8,5.2,9,5.3,10,49.3,10,Specialty finance,2011
Man ,5.9,9,5.5,10,5.8,8,6.3,6,5.4,9,6.1,6,5.6,6,5.3,7,5.5,9,51.3,8,Specialty finance,2011
Provident Financial ,6.7,2,5.9,9,6.1,7,5.8,8,6,5,6,8,6.1,5,5.8,2,5.8,6,54.2,7,Specialty finance,2011
Schroders ,6.3,6,8.1,1,7,3,7,3,7.3,1,6.4,3,6.8,2,5.5,4,6.2,4,60.6,3,Specialty finance,2011
3i ,5.3,10,6,8,5.7,9,5.2,10,5.7,7,5.5,9,5.2,10,5.7,3,6,5,50.2,9,Specialty finance,2011
BT Group ,7.3,4,6.5,4,6.6,5,5.9,5,6.1,5,5.4,6,6.4,5,7.1,1,7.6,1,58.9,5,Telecoms,2011
Cable & Wireless  Communications ,4,8,3.4,9,4.6,9,4.1,8,3.2,9,3.7,9,4.1,9,4.4,7,4.1,9,35.7,9,Telecoms,2011
Cable & Wireless Worldwide ,3.9,9,4.1,8,5.8,7,4,9,4.4,8,4.8,8,4.4,8,4.3,9,4.4,8,39.9,8,Telecoms,2011
Colt ,5.1,7,5.9,6,6.1,6,4.6,7,4.5,7,5.1,7,4.6,7,4.3,8,5.6,7,45.8,7,Telecoms,2011
Inmarsat ,6.3,6,6.8,3,7.2,3,6.5,4,7.5,1,7.2,2,5.7,6,4.8,6,7.3,2,59.3,4,Telecoms,2011
Talk Talk ,6.4,5,5.8,7,5.1,8,5.6,6,5.3,6,5.4,5,6.4,4,6,5,6.3,6,52.4,6,Telecoms,2011
Telef¢nica 02 (UK) ,8,2,7.4,2,7.4,2,7.6,1,6.6,3,7.3,1,8,1,6.7,2,7.1,4,66.2,1,Telecoms,2011
Virgin Media ,7.6,3,6.1,5,7.5,1,6.6,3,6.4,4,6.8,3,7.5,2,6.1,4,7,5,61.7,3,Telecoms,2011
Vodafone ,8.2,1,8.2,1,7.1,4,7.6,1,7.3,2,6.7,4,7.1,3,6.6,3,7.3,2,66,2,Telecoms,2011
Arriva ,6.2,7,7.6,2,6.6,4,6,3,6.3,4,5.6,7,6,5,6.2,4,6.2,5,56.7,3,Transport,2011
Avis Europe ,5.7,9,4.7,10,5.7,8,4.7,10,5,8,5,10,5,9,5,9,6,7,46.7,10,Transport,2011
International Airlines Group ,7.2,3,5.3,9,6.7,3,6.8,2,4,10,6.2,3,6.8,3,5.5,8,5.5,10,54,6,Transport,2011
easyJet ,6.6,4,6.5,5,6.3,5,5.5,8,5.5,7,6.2,3,7.5,1,5.7,7,6.2,6,55.9,5,Transport,2011
FirstGroup ,5.6,10,5.8,7,5.8,7,6,3,6.4,2,5.4,9,5.9,6,6.5,3,6.4,4,53.7,8,Transport,2011
Go-Ahead Gp ,6.3,6,7,3,6.8,2,5.4,9,6.4,3,5.8,5,5.4,8,6.6,2,6.8,3,56.3,4,Transport,2011
National Express ,6.6,5,5.8,6,6.3,5,5.8,7,6,6,5.7,6,5.8,7,6.1,6,6,7,54,6,Transport,2011
Network Rail ,6,8,5.5,8,5.2,9,5.8,6,5,8,5.4,8,4,10,6.2,4,5.8,9,48.9,9,Transport,2011
Ryanair ,7.8,2,7,3,5,10,6,3,6.2,5,6.5,2,7,2,4.5,10,6.8,2,56.8,2,Transport,2011
Stagecoach ,8.5,1,7.9,1,7.6,1,7.1,1,7.6,1,7.6,1,6.8,4,7.4,1,7.6,1,68.1,1,Transport,2011
CEVA Logistics UK ,7,3,5.1,6,6.9,3,6.3,3,6,5,6.3,3,5.7,5,6,3,5.3,6,54.6,4,Transportation services,2011
City Link ,5.2,7,3.7,8,4.6,7,4.6,7,4.1,8,3.8,7,4.6,7,5,7,5,7,40.6,7,Transportation services,2011
DHL (UK) ,6.3,5,6.5,3,6.3,4,6,5,6.8,3,6,4,7,2,5.3,6,5.6,4,55.9,3,Transportation services,2011
Kuehne + Nagel (UK) ,7.7,1,7.4,2,7,2,7.3,2,6.9,2,6.7,2,6.4,3,5.7,5,7,1,62.1,2,Transportation services,2011
Royal Mail Group ,4.3,8,3.8,7,4.5,8,4.1,8,4.2,7,3.6,8,4,8,4.2,8,3.3,8,35.9,8,Transportation services,2011
TNT (UK) ,6,6,5.8,4,6,5,6.2,4,5.5,6,5.3,6,6,4,6.2,2,5.6,4,52.6,6,Transportation services,2011
UPS (UK) ,7.3,2,7.9,1,7.2,1,7.3,1,7.5,1,6.9,1,7.4,1,6.5,1,6.6,2,64.6,1,Transportation services,2011
Wincanton ,6.5,4,5.8,4,5.8,6,5.8,6,6.2,4,5.5,5,5.5,6,6,3,5.8,3,53,5,Transportation services,2011
Centrica ,7.1,2,7.7,1,7,1,6.9,3,6,5,6.7,2,8,1,6.4,5,6.2,4,62,1,Utilities,2011
E.on UK ,5.3,9,5.5,9,6,8,5.4,9,5.3,8,5.6,6,6.1,3,6.1,8,5.8,6,51.1,8,Utilities,2011
EDF Energy ,5.4,8,5.9,7,6.4,4,5.6,8,5.2,9,5.8,5,6.4,2,6.8,2,5.1,10,52.6,5,Utilities,2011
International Power ,6.1,5,6.2,6,6.1,6,6,5,5.9,6,5.1,8,4.4,10,5.1,10,6.1,5,50.9,9,Utilities,2011
National Grid ,6.5,3,7.3,2,6.9,3,7,1,7.4,1,6,4,4.7,9,6.6,3,6.3,2,58.7,3,Utilities,2011
npower ,4.6,10,4.7,10,5.3,10,5,10,4.7,10,5,9,4.9,6,5.7,9,5.3,9,45.2,10,Utilities,2011
Pennon Group ,7.7,1,6.7,3,6.9,2,6.9,2,7.1,2,6.8,1,5.4,5,7.3,1,6.4,1,61.2,2,Utilities,2011
Scottish & Southern Energy* ,6.5,3,5.8,8,6.4,5,6.2,4,6.3,3,6.2,3,5.8,4,6.3,7,6.2,3,55.7,4,Utilities,2011
Seven Trent ,5.7,7,6.7,4,6,7,5.7,7,5.7,7,5.1,7,4.7,8,6.4,6,5.8,6,51.9,7,Utilities,2011
United Utilities ,6.1,5,6.4,5,5.9,9,5.8,6,6,4,5,10,4.8,7,6.6,4,5.7,8,52.2,6,Utilities,2011
