,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Carillion ,6.6,3,7.1,2,6.8,2,5.8,4,7,2,5.9,2,6.7,1,6.7,1,6.5,1,59.2,2,Heavy construction,2011
Costain Group ,6.3,4,5.8,4,6.7,4,5.7,5,5.8,6,5.8,3,6.2,3,6.5,2,6.3,4,55.2,4,Heavy construction,2011
Galliford Try ,6.2,5,5.8,5,6.1,7,5.2,9,5.9,5,4.7,9,5,9,5.6,8,6,5,50.5,7,Heavy construction,2011
Keller Group ,6.1,6,5.5,9,6.4,6,5.8,3,6.1,4,5.8,4,5.6,6,6.1,5,5.5,10,52.8,5,Heavy construction,2011
Kier Group ,7.2,2,7,3,6.7,3,6.3,2,7,3,5.3,6,5.7,4,6.4,3,6.3,3,57.9,3,Heavy construction,2011
Laing O?Rourke ,5.8,7,5.1,10,5.8,9,5.4,7,5.3,10,5.7,5,5.7,5,5.6,8,5.8,8,50,8,Heavy construction,2011
Morgan Sindall ,5.4,10,5.5,8,5.5,10,5.3,8,5.5,8,4.8,8,5.1,8,5.6,8,6,6,48.7,9,Heavy construction,2011
Sir Robert McAlpine ,5.8,7,5.6,7,6.4,5,5.5,6,5.8,7,5,7,5.3,7,5.9,7,5.8,8,50.9,6,Heavy construction,2011
Barratt Developments ,5.4,7,4.6,7,5.8,7,6.3,5,7.4,4,7,2,7.8,2,6.6,2,5.6,6,56.5,5,Home construction,2011
Bellway ,7.4,3,7.6,3,6.5,4,6.6,3,7.5,3,5.5,7,5.6,7,5.8,7,7,3,59.5,3,Home construction,2011
Berkeley Group ,9,1,9.1,1,8.3,1,8.2,1,7.6,2,7.6,1,8.3,1,6.8,1,8.1,1,73,1,Home construction,2011
Bovis Homes ,6.8,4,7.5,4,6.9,2,6.4,4,7,5,6.3,4,5.9,5,6,5,6.2,5,58.9,4,Home construction,2011
Persimmon ,8.1,2,8.1,2,6.6,3,6.8,2,7.7,1,6.6,3,6,3,5.9,6,7.5,2,63.3,2,Home construction,2011
Redrow ,6.3,5,5.6,5,6.5,4,6.1,6,6.4,6,6,5,5.9,5,6.1,3,6.3,4,55.1,6,Home construction,2011
Taylor Wimpey ,5.8,6,5.6,5,6.3,6,5.7,7,6.1,7,5.8,6,6,3,6.1,3,5,7,52.2,7,Home construction,2011
BAE Systems ,5.7,7,7.3,4,6,8,6.4,3,6.2,4,5.8,8,6.1,7,5.7,2,6.3,6,55.5,6,Aero and defence,2011
Chemring Group ,6.6,5,6.5,5,7.2,3,6.4,4,5.6,8,6.9,3,6.7,2,4.4,9,6.7,3,57.1,5,Aero and defence,2011
Cobham ,5.3,8,6.5,6,6.8,7,6.1,7,6.1,6,6.8,4,6.1,6,5.3,4,5.7,7,54.7,7,Aero and defence,2011
GKN ,6.6,6,5.3,8,6.9,6,5.9,8,5.9,7,6.1,5,6.3,4,4.8,8,5.6,8,53.4,8,Aero and defence,2011
Meggitt ,7.2,4,6.2,7,7.1,4,6.3,5,6.2,5,6.1,6,6.3,5,5.3,3,6.6,5,57.2,4,Aero and defence,2011
QinetiQ Group ,5.1,9,5.1,9,5.3,9,5.1,9,4.7,9,5.7,9,5.3,9,4.9,7,5.2,9,46.5,9,Aero and defence,2011
Rolls-Royce ,7.2,3,8,1,8.4,1,7.8,1,7.9,1,7.8,1,7.8,1,6.6,1,7,2,68.3,1,Aero and defence,2011
Senior ,7.3,2,7.4,3,7,5,6.3,6,7,2,5.9,7,5.7,8,5.1,5,6.7,4,58.4,3,Aero and defence,2011
Ultra Electronics ,7.7,1,7.7,2,7.7,2,6.7,2,6.3,3,7,2,6.6,3,5.1,5,7.2,1,62,2,Aero and defence,2011
Charter ,3.2,10,4.8,10,5.8,9,3.6,10,5.6,9,5.2,9,3.6,10,3.6,10,3.2,10,38.6,10,Engineering,2011
Cookson ,6.7,7,5.3,9,6.3,7,5.5,7,6.2,8,5.8,7,4.8,8,5.2,6,5.3,7,51.2,8,Engineering,2011
Fenner ,6.8,6,6,6,7.2,4,5.5,7,6.7,6,5.7,8,5.3,7,5,7,6,5,54.2,7,Engineering,2011
IMI ,7,5,6.8,4,6.8,5,6.2,6,6.7,6,6.2,6,6,2,5.8,3,5,8,56.5,5,Engineering,2011
Melrose ,8.2,2,6.6,5,6.2,8,7,4,7,4,6.2,5,5.6,4,5,7,8,1,59.8,4,Engineering,2011
Rotork ,8.6,1,8.4,1,9.2,1,7.6,1,8.4,1,8,1,7.4,1,6.8,1,7.2,2,71.6,1,Engineering,2011
Smiths Group ,5.8,9,5.6,7,6.6,6,6.8,5,6.8,5,7.4,2,5.4,6,6,2,5.6,6,56,6,Engineering,2011
Spirax Sarco Engineering ,7.6,4,8.4,1,8.2,2,7.4,2,8,2,7,3,5.6,4,5.8,4,6.8,4,64.8,2,Engineering,2011
Tata Steel (UK) ,6.3,8,5.5,8,5.5,10,5.5,7,5.5,10,4.8,10,4,9,3.8,9,4.8,9,45.5,9,Engineering,2011
Weir Group ,8,3,8,3,7.8,3,7.4,2,8,2,6.6,4,5.8,3,5.8,4,7,3,64.4,3,Engineering,2011
Associated British Foods ,7.5,2,8.4,1,7.1,4,6.9,3,7.6,3,6.5,4,6.1,2,5.9,4,7.4,1,63.4,2,Food,2011
Bakkavor ,6,8,2.8,8,6.8,5,4.8,8,4.3,8,6.3,6,4.5,7,5.3,5,5.5,7,46,8,Food,2011
Compass Group ,7,6,8,3,6.5,7,6.5,4,6.5,6,5,8,3.5,9,7,2,5.5,7,55.5,6,Food,2011
Glanbia ,7.2,3,7,6,7.2,3,6.2,6,6.6,5,6,7,4.4,8,6,3,7,4,57.6,5,Food,2011
Greencore Group ,6.3,7,6,7,6.5,7,6,7,5.3,7,6.3,5,6,3,5.2,6,6.8,5,54.5,7,Food,2011
Kerry Group ,7.8,1,7.5,4,7.3,2,7.3,2,7.8,2,7.3,2,5.3,6,5,8,7.2,2,62.7,3,Food,2011
Premier Foods ,3.6,9,2.3,9,5.8,9,4.1,9,2.4,9,3.8,9,5.6,4,4.5,9,5.1,9,37.1,9,Food,2011
Tate & Lyle ,7.1,5,7.4,5,6.8,5,6.4,5,6.8,4,6.6,3,5.6,5,5.1,7,6.5,6,58.2,4,Food,2011
Unilever ,7.1,4,8.3,2,7.6,1,7.6,1,8.3,1,7.6,1,8.1,1,7.6,1,7.1,3,69.3,1,Food,2011
888 Holdings ,3.9,10,3.5,9,6,6,3.6,9,4.5,8,5.8,6,6.1,5,3.9,9,5.4,5,42.7,8,Gaming,2011
Betfair ,5.3,5,9,1,7.9,2,5.5,6,6.8,4,7.8,2,6.4,3,5,3,5.1,7,58.6,4,Gaming,2011
Bwin.Party Digital ,6.6,4,8.4,3,7,3,5.9,5,7.4,2,6.7,3,6.3,4,4.9,5,5.8,4,59,3,Gaming,2011
Gala Coral ,4.7,8,2.1,10,4.7,8,4.6,7,4.1,9,3.7,10,4,10,4.4,8,4,10,36.4,10,Gaming,2011
Ladbrokes  ,5,7,6.1,6,5.4,7,5.9,4,5.6,6,5,7,4.6,8,5.1,2,5.4,5,48.2,6,Gaming,2011
Paddy Power ,8.4,1,8.7,2,8,1,8,1,8.1,1,8.1,1,8.6,1,5.3,1,7,1,70.3,1,Gaming,2011
Rank Group* ,5.1,6,5.9,7,4.6,9,4.1,8,5,7,4.4,9,4.1,9,5,3,5.1,7,43.4,7,Gaming,2011
Sportingbet  ,7,3,6.4,5,6.5,5,6,3,7,3,6.1,5,6.1,5,4.5,7,6,3,55.6,5,Gaming,2011
tote ,4.6,9,5,8,4,10,3.2,10,3.5,10,4.5,8,4.8,7,3.8,10,4.3,9,37.7,9,Gaming,2011
William Hill ,7.6,2,6.6,4,7,3,6.9,2,6.4,5,6.6,4,6.8,2,4.7,6,6.9,2,59.3,2,Gaming,2011
Admiral ,7.5,1,7.3,2,6,6,7.3,1,5.7,6,6.7,1,6.4,1,6.3,1,7.8,1,61,1,Insurance,2011
Amlin ,6.3,6,6.4,7,6.3,2,6.5,5,6.2,5,4.7,9,4.5,9,4.5,10,6.4,3,51.9,6,Insurance,2011
Aviva ,4.8,10,5.7,9,5.3,8,4.8,10,5.3,9,5.1,7,5.2,7,5.9,4,4.6,10,46.6,9,Insurance,2011
Legal & General Group ,7,4,6.7,5,6.1,5,6.3,7,6.7,3,5.6,5,5.3,6,5.9,3,5.9,6,55.6,5,Insurance,2011
Old Mutual ,5.3,8,5.4,10,4.8,9,5.1,9,5.7,7,5,8,4.8,8,5.1,8,5.1,9,46.3,10,Insurance,2011
Prudential ,6.9,5,6.9,4,5.9,7,7.1,2,7.7,1,5.6,6,5.8,3,5.4,7,5.9,5,57.2,4,Insurance,2011
Resolution ,5.8,7,6,8,4.5,10,6.4,6,5.2,10,4.5,10,4.2,10,4.9,9,5.1,8,46.6,8,Insurance,2011
RSA Insurance ,7.1,3,7,3,6.4,1,7,3,6.5,4,5.7,3,5.8,2,6.1,2,6.4,4,57.9,3,Insurance,2011
Standard Life ,5.2,9,6.4,6,6.1,4,5.9,8,5.3,8,5.7,2,5.7,4,5.7,5,5.8,7,51.8,7,Insurance,2011
St James Place Capital ,7.2,2,7.6,1,6.3,3,6.6,4,7,2,5.7,3,5.5,5,5.5,6,7.1,2,58.4,2,Insurance,2011
Carnival ,7,2,7.5,2,6.5,3,6.8,2,6.8,2,6,1,6,3,5,5,6.8,3,58.3,2,Leisure,2011
Holidaybreak*  ,6.7,4,6,4,7,2,6,3,5.7,4,5.7,3,6.3,2,6.3,1,7,2,56.7,3,Leisure,2011
InterContinental Hotels ,8,1,8.5,1,7.3,1,7.3,1,7.5,1,6,1,6.8,1,6.3,2,7.5,1,65,1,Leisure,2011
Millennium & Copthorne ,3,6,4,6,4.8,6,3.5,7,3.8,6,3.8,7,4,7,4,7,3.5,7,34.3,6,Leisure,2011
Thomas Cook Group ,3,6,2.6,7,4.2,7,3.6,6,3.2,7,4,6,4.8,6,4.2,6,4.2,6,33.8,7,Leisure,2011
Tui Travel ,7,2,5.5,5,6,4,6,3,5.3,5,5.3,5,5.5,5,5.3,4,5.8,5,51.5,5,Leisure,2011
Whitbread ,6.3,5,6.3,3,6,4,6,3,6,3,5.5,4,6,3,5.8,3,6,4,53.8,4,Leisure,2011
BBC ,4.4,10,6.9,3,8,1,6,4,6,4,6.6,3,6.7,2,6.1,2,4.7,10,55.4,3,Media,2011
BSkyB ,7.5,2,7.8,1,7.7,2,7.7,1,7.5,1,7.7,1,8,1,6.3,1,7,1,67.2,1,Media,2011
Daily Mail & General Trust ,5.7,7,5.1,9,6.9,4,4.9,9,5.7,8,5.6,6,5.3,7,4.7,8,5.1,8,49,8,Media,2011
Euromoney Institutional Inv. ,6.4,4,5.4,8,6.9,4,5.7,7,6,4,5.9,4,5.6,4,4.9,6,6,3,52.7,5,Media,2011
Informa ,6,6,5.7,6,6.5,6,5.8,6,5.8,7,4.8,8,5.5,6,4.3,9,5.5,6,50,7,Media,2011
ITV ,5.5,8,6,5,5.7,9,6,4,4.8,9,4.8,8,5.2,8,4.8,7,5.7,5,48.5,9,Media,2011
Mecom Group ,4.9,9,4.3,10,4.9,10,4.3,10,3.9,10,4.3,10,4.3,10,4.3,10,5,9,40,10,Media,2011
