,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
13,Building materials,Electrocomponents,5.3,9,5.3,9,6.6,7,5,8,5.2,9,5.4,8,4.8,8,4.9,10,5.3,7,47.8,9,2009
22,Chemicals,Elementis,5.3,6,5,6,5.5,4,4.5,5,4,6,4,7,5,6,3.7,7,4.8,4,41.8,7,2009
145,Restaurants,Enterprise Inns,4.6,10,2.8,10,3.8,10,3.2,10,2.9,10,2.9,10,2.2,10,2.7,10,2.6,10,27.6,10,2009
205,Support services,Experian,6.4,4,6.3,5,7,3,6.3,3,6.7,3,6.3,2,5.8,5,5.1,10,6.5,5,56.6,4,2009
183,Software,Fidessa,6.3,6,6.5,4,6.8,5,5.7,8,6,3,6.2,3,5.8,7,5.3,7,5.5,8,54.1,7,2009
166,General retailers,Findel,5.8,5,5.2,5,5.5,7,4.7,6,4.5,6,4.3,7,3.7,9,4,7,5.2,4,42.9,7,2009
222,Transport,FirstGroup,6.1,6,5.3,6,5.6,6,6.2,3,6.1,3,5.4,6,5.4,6,6.6,1,6.3,4,52.9,5,2009
99,Insurance,Friends Provident*,5.8,6,5.1,8,4.6,10,5,8,4.6,9,4.5,10,4.2,9,5.5,5,4.9,8,44.1,9,2009
206,Support services,G4S,5.5,7,6.5,4,5,9,5.7,8,5.7,9,5.6,7,5.6,7,5.7,4,6.2,8,51.5,8,2009
32,Heavy construction,Galliford Try,6.4,5,5.5,7,6.1,6,6.3,3,6.1,5,6.1,4,5.3,7,5.4,7,5.2,7,52.3,6,2009
173,Specialist retailers,Game Group,5.4,7,5.8,6,6.2,7,5.8,5,4.6,7,6.2,5,5.5,6,5.2,7,5.6,7,50.2,7,2009
51,Aero and defence,GKN,6.7,5,5.2,10,6.7,7,6,9,4.9,10,5.7,9,6,7,6.2,3,6.1,7,53.5,9,2009
81,Health,GlaxoSmithKline,8.3,1,9.2,1,7.8,2,8.5,1,6.7,4,7.5,1,8.5,1,6.7,1,6.8,1,70,1,2009
33,Heavy construction,Gleeson (M.J.) Group,4.2,10,4.7,9,4.5,10,4.3,10,4,10,4.3,10,4,10,4.6,10,4.2,10,38.6,10,2009
223,Transport,Go-Ahead Gp,6.5,4,6.9,3,6.3,3,5.5,6,6.6,1,5.7,5,4.9,8,6.5,2,5.9,7,54.9,3,2009
135,Property,Great Portland Estates,6.4,2,6.7,3,6,6,5.4,6,5.6,5,6.3,2,5.1,6,5.3,6,6.1,3,52.9,4,2009
72,Food,Greencore (UK),5.4,7,4.2,9,5,9,5,5,4.7,7,5.8,4,5,8,5.5,6,6,3,46.6,7,2009
146,Restaurants,Greene King,6.5,4,6.1,7,5.8,7,5.6,6,6,5,4.9,7,4.6,7,5.1,6,5.1,8,49.8,6,2009
174,Specialist retailers,Halfords,6,6,6.5,4,6.3,4,5.8,4,6.2,4,5.8,7,6,4,6,1,6,5,54.7,5,2009
136,Property,Hammerson,5.8,6,5.3,8,6.6,3,5.3,7,5.1,7,5.1,6,5.7,3,5.7,3,5.6,7,49.9,7,2009
167,General retailers,Headlam Group,5,10,4.3,7,5,10,4,9,3.7,8,3.7,10,3,10,4,7,4.3,7,37,10,2009
82,Health,Hikma Pharmaceuticals,6.5,4,6.3,7,6.3,6,6.3,6,6.8,3,5.8,7,7,5,5.5,3,6.8,2,57,5,2009
175,Specialist retailers,HMV,6.6,3,5.7,7,6.3,6,5.7,7,3.5,8,6.9,2,6.7,3,5.3,6,6.6,2,53.1,6,2009
168,General retailers,Home Retail Group,6.9,3,7.2,2,5.6,6,5.9,3,6.2,3,5.7,4,5.7,3,5.1,2,5.3,3,53.6,3,2009
6,Banking,HSBC,7.5,1,7.8,1,6.3,1,6.9,2,7.1,1,6.3,2,6.7,2,6.2,2,6.5,1,61.2,1,2009
193,Specialty finance,ICAP,7,1,6.2,3,6.8,1,6.4,1,6.8,1,6.2,1,5.8,2,6,2,6,1,57.2,1,2009
194,Specialty finance,IG Group,5.8,7,5.6,5,6,2,5,9,5,8,5,8,4.6,8,4.3,6,4.8,6,46,9,2009
61,Engineering,IMI,7.7,3,7.4,1,6.6,5,6.2,5,6.4,4,5.8,5,5.9,5,5.7,5,6.4,2,58.1,4,2009
176,Specialist retailers,Inchcape,5,8,5,8,4.7,8,4.7,8,4.7,6,4.7,8,4.7,8,4.7,8,5,8,43,8,2009
109,Media,Informa,5.8,8,4.5,9,6.2,6,5.3,7,5.5,8,5.6,7,5,8,5,8,5.2,8,48.1,8,2009
7,Banking,ING Direct,5.1,5,5.4,6,5.3,5,4.7,5,4.9,5,5.2,5,5.1,6,3.8,9,4.6,6,44.1,6,2009
214,Telecoms,Inmarsat,7,1,7.2,2,8.2,1,6.1,3,7.3,1,6.6,1,4.9,4,5.1,3,6.9,1,59.3,2,2009
88,Leisure,InterContinental Hotels,7.6,1,6.9,2,7,2,7,1,7.1,1,6,2,6.9,1,6,1,6.6,1,61,1,2009
229,Utilities,International Power,6.7,3,6.1,8,6.3,5,6.1,4,5.8,7,6.1,3,4.6,8,5.5,7,6.2,5,53.3,5,2009
207,Support services,Intertek,5.5,9,6.2,6,6,6,5.8,7,6.4,5,5.8,5,5.1,9,5.3,9,5.9,9,52.1,7,2009
184,Software,Invensys,6.5,4,6.8,3,6.2,7,5.8,6,5.2,9,6,4,6.1,5,5.5,5,6.3,4,54.5,5,2009
195,Specialty finance,Investec,5.2,9,5.5,8,5.2,8,5.3,7,5.4,6,5.8,3,5.8,3,5,5,4.5,9,47.6,6,2009
110,Media,ITV,3.7,10,2.5,10,4.4,10,4.6,10,3.8,10,3.3,10,4.2,10,5,8,4.2,10,35.7,10,2009
125,Paper,James Cropper,6,5,6,6,6.8,4,4.8,7,5,5,5.8,5,5.3,6,5.5,6,5.5,5,50.5,6,2009
23,Chemicals,Johnson Matthey,8,1,8.6,1,8.4,1,8.2,1,7.8,1,8.2,1,7.2,1,7,1,7.6,1,71,1,2009
215,Telecoms,KCOM Group,5.5,5,3.9,6,3.7,7,3,6,3.5,5,3,6,3,6,3.8,6,4,6,33.4,6,2009
34,Heavy construction,Keller Group,6.6,2,6.7,3,6.6,3,6.3,4,6.3,3,6.7,2,5.8,5,5.6,5,6.1,4,56.5,3,2009
169,General retailers,Kesa Electricals,5.5,7,5.9,4,6.3,3,4.9,5,4.9,5,4.6,6,5.5,4,4.4,5,4.4,6,46.3,4,2009
35,Heavy construction,Kier Group,6.5,3,6.9,2,6.6,2,6.4,2,6.3,2,6.1,4,5.9,4,6.4,2,6.1,3,57.2,2,2009
170,General retailers,Kingfisher,6.9,4,6.4,3,6.4,2,6.6,2,6.3,2,6.6,2,6.6,2,5.4,1,5.4,2,56.6,2,2009
14,Building materials,Kingspan,6.1,6,6.3,4,7.6,1,6.1,3,6,4,7.2,1,6.4,1,6.4,1,6.3,1,58.4,1,2009
230,Utilities,KSK Power Ventur,5.3,9,5.7,9,5.3,8,5.1,10,5.3,9,5.3,7,3.7,10,5.3,9,6,7,47.1,10,2009
89,Leisure,Ladbrokes,5.3,8,5.6,8,5.1,8,4.5,8,4.6,9,4.6,8,5.4,4,5,4,4.8,8,44.9,8,2009
137,Property,Land Securities,5.3,8,5.7,6,6,5,5.4,5,5.6,6,5.1,6,5.5,4,6.4,2,5.7,6,50.7,6,2009
100,Insurance,Legal & General Group,5.1,8,4.6,9,6,6,5.2,6,4.8,7,5.4,7,5.1,6,5.3,7,4.6,9,46.2,7,2009
138,Property,Liberty International,4.5,9,5.2,9,5.4,9,5.3,7,5,8,4.3,9,4,9,5.4,4,4.5,9,43.5,9,2009
8,Banking,Lloyds Banking Group,4.3,8,3.4,7,5.2,7,4.5,6,4.5,6,5.1,7,5.6,4,4,5,3.7,7,40.3,7,2009
185,Software,Logica,5.8,9,5.4,9,5.6,9,5.9,5,4.4,10,5.5,8,7,1,5.7,4,5.8,7,50.9,8,2009
177,Specialist retailers,Majestic Wine,6.4,5,7,1,7.4,1,6.5,1,6.8,2,6.3,4,6.8,2,5.9,2,6.1,4,59.2,1,2009
196,Specialty finance,Man,6,4,5.8,4,5.8,5,6,2,6.4,2,6.2,1,6.4,1,6.8,1,5.5,4,54.9,2,2009
155,Food and personal retailers,Marks & Spencer,6.6,5,6.6,5,7.4,3,7.4,2,6.7,4,6.9,3,7.6,2,7.5,1,6.1,4,62.9,3,2009
15,Building materials,Marshalls,5.8,7,5.8,7,7,2,5.3,6,5.5,7,5.8,3,5.5,4,5.3,6,5.5,6,51.3,5,2009
147,Restaurants,Marstons,5.7,8,5.3,8,5.2,9,4.9,9,5.3,8,4.6,9,5.2,5,5.3,4,4.8,9,46.4,9,2009
42,Home construction,McInerney Homes UK,4,9,3.8,5,5.3,7,4.3,6,4.4,6,4.6,10,4,8,5,9,4.1,5,39.4,7,2009
52,Aero and defence,Meggitt,6.3,8,5.4,9,6.7,8,6.2,6,6.2,7,5.8,8,6.2,6,5.9,5,6.3,6,55,7,2009
62,Engineering,Melrose,7.1,5,6.2,7,5.9,6,6,6,5.9,6,5.5,7,5.9,5,5.3,7,5.9,5,53.5,6,2009
