,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
149,Restaurants,SABMiller,7.2,2,7.6,2,7.5,2,7,2,6.7,2,6.5,3,6.1,3,6.9,1,6.9,1,62.4,2,2009
188,Software,Sage Group,7.1,2,6.4,5,6.4,6,6.3,3,5.9,4,5.5,8,6.7,2,6,3,6.5,3,56.7,3,2009
159,Food and personal retailers,Sainsbury (J),7.2,3,7.1,3,7.5,2,7.2,3,7,3,7,2,7.1,5,7,2,6.7,2,63.8,2,2009
17,Building materials,Saint-Gobain,6.2,3,7.1,1,7,2,6.5,2,6.4,2,5.8,2,6.2,2,6.1,2,4.9,9,56.3,2,2009
198,Specialty finance,Schroders,5.6,8,6.5,1,5.8,6,5.8,4,6,3,4.8,9,5.6,5,4.3,6,4.8,6,49,5,2009
234,Utilities,Scottish & Southern Energy,6.9,2,7.3,4,7,1,6.3,3,7.2,2,6.6,2,5.8,3,6.1,4,6.6,3,59.8,2,2009
140,Property,Segro,5.5,7,5.8,5,5.7,8,4.9,9,4.6,9,4.7,8,4.8,8,5.2,8,5.3,8,46.3,8,2009
209,Support services,Serco Group,7.4,2,7.4,2,7.3,1,7.2,2,7.8,1,6.3,3,6.5,1,6.1,1,6.6,4,62.5,2,2009
235,Utilities,Severn Trent,5.8,5,7.6,2,6.1,6,5.6,6,6.4,5,5.3,10,6.2,2,5.9,6,6.8,1,55.7,4,2009
141,Property,Shaftesbury,6.5,1,6.1,4,6.5,4,5.9,3,5.7,4,5.5,5,5.1,6,5.2,7,5.9,5,52.3,5,2009
84,Health,Shire,6.9,2,7.1,3,7.3,3,6.6,5,7.3,2,6.1,4,7.6,3,5.3,6,6.7,4,60.9,3,2009
18,Building materials,SIG,6.2,3,5.3,8,6.7,5,5.4,5,5.6,6,5.4,7,5.6,3,5.4,4,5.7,4,51.2,6,2009
85,Health,Smith & Nephew,5.3,10,6.8,6,7.2,5,5.3,7,5.5,7,5.8,6,5.2,8,5.3,5,5.5,7,52,7,2009
130,Paper,Smith (DS),7,2,7.4,1,7.4,2,6.8,1,6,2,7,1,6.8,1,7,1,6.8,2,62.2,1,2009
64,Engineering,Smiths Group,7.2,4,7.2,2,7,3,6.8,3,6.9,3,6.2,3,6.2,3,6.1,3,6,4,59.5,3,2009
131,Paper,Smurfit Kappa Gp,7,2,7,2,6.8,4,6.5,3,6.3,1,5.8,5,5.8,4,6.5,2,7,1,58.5,3,2009
65,Engineering,Spirax Sarco Engineering,6.6,6,6.8,4,7.1,2,6.5,4,7.1,1,5.9,4,6.1,4,6.3,2,5.9,5,58.1,4,2009
160,Food and personal retailers,Sports Direct,5,10,3.6,10,4.1,10,3.8,10,3.4,10,3.6,10,3.7,10,2.5,10,4,10,33.7,10,2009
105,Insurance,St James Place Capital,6.7,5,7,4,6.3,4,6.6,4,6.1,4,6.1,3,7,2,6,2,6.7,2,58.6,2,2009
226,Transport,Stagecoach,7.8,1,7.2,2,5.6,5,5.8,4,6.5,2,6.4,2,6.1,3,6.2,4,6.8,2,58.4,2,2009
